Unnamed: 0,Site,Publication,Period,Lower_ context_date,Upper_context_date,Amphora_type,Provenance,Frequency,Notes,Amphora_type_lower_date,Amphora_type_upper_date,Pleiades URI,Latitude,Longitude
172,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Dr 2-4_2,Tarraconesis,7.0,,-25,200,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
173,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Dr 20,Baetica,4.0,,1,300,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
174,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Dr 7-11,Baetica,2.0,,-30,96,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
175,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Dr 14,Baetica,1.0,,50,225,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
176,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Beltran IIB,Baetica,10.0,,15,150,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
177,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Dr 14 similis,Lusitania,2.0,,50,225,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
178,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Gauloise 4,Gaul,15.0,,50,300,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
179,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Gauloise 5,Gaul,2.0,,50,125,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
180,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,AC1,Aegean,6.0,,1,350,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
181,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,AC3,Aegean,2.0,,1,250,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
182,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Dr 2-4,Aegean,5.0,,-100,200,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
183,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Knossos 19,Aegean/Oriental,1.0,,1,200,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
184,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Agora F65-66,Anatolia,2.0,,-50,400,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
185,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Schoene-Mau 5,Cilicia,11.0,,1,200,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
186,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Schoene-Mau 35,Africa,7.0,,30,225,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
187,Boccone del Povero,"T. Bertoldi 2011, Ceramiche comuni dal suburbio di Roma, Roma",EI,1,200,Tripolitana II,Tripolitania,4.0,,1,400,https://pleiades.stoa.org/places/607225751,41.891775,12.486137
188,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,26.0,,-70,225,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
189,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",EI,1,200,Spello/Ostia II 521/ III 369-370,Italy - Tiber Valley,7.0,,50,200,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
190,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",EI,1,200,Dr 14 similis,Lusitania,4.0,,50,225,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
191,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",EI,1,200,Camulodunum 184,Aegean,3.0,,-25,150,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
192,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",EI,1,200,AC1,Aegean,1.0,,1,350,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
193,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",EI,1,200,AC3,Aegean,5.0,,1,250,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
194,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",EI,1,200,Dr 43_1,Aegean,4.0,,1,250,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
195,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",EI,1,200,Schoene-Mau 35,Africa,1.0,,30,225,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
196,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",LR,-150,-1,Etruscan,Tyrrhenian Italy,22.0,,-150,-1,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
197,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",LR,-150,-1,Greco-Ital,Tyrrhenian Italy,97.0,,-350,-150,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
198,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",LR,-150,-1,Dr 1,Tyrrhenian Italy,12.0,,-150,-50,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
199,Caere-Pyrgi,"B. Belelli Marchesini, M.C. Biella, S. Napolitani, A. Landi 2015, Grandi contenitori e instrumentum: Anfore, in. Barbara Belelli Marchesini, Maria Cristina Biella, Laura Maria Michetti ed. Il santuario di Montetosto sulla via Caere-Pyrgi, Roma 2015, 110-117.",LR/EI,-100,50,Van der Werff,Spain/Africa,10.0,,-225,100,https://pleiades.stoa.org/places/389050484,42.0151801444,11.9637192735
200,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Brindisi,Adriatic Italy,5.0,,-125,-25,,45.594849,12.870800
201,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Dr 6A,Adriatic Italy,13.0,,-25,50,,45.594849,12.870800
202,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Dr 6B,Adriatic Italy,6.0,,1,150,,45.594849,12.870800
203,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,collo ad imbuto,Adriatic Italy,5.0,,1,250,,45.594849,12.870800
204,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Schörgendorfer 558,N Adriatic Italy,1.0,,1,200,,45.594849,12.870800
205,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Rhodian,Aegean,1.0,,-25,150,,45.594849,12.870800
206,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,3.0,,-70,225,,45.594849,12.870800
207,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Dr 2-4,Aegean,1.0,,-100,200,,45.594849,12.870800
208,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Dr 7-14,Baetica,1.0,,-30,150,,45.594849,12.870800
209,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Forlimpopoli,Adriatic Italy,8.0,,-25,300,,45.594849,12.870800
210,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Dr 25,S Italy/Eastern Mediterranean,1.0,,-25,100,,45.594849,12.870800
211,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Brindisi,Adriatic Italy,1.0,,-125,-25,,45.594849,12.870800
212,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Dr 35,Aegean?,1.0,,1,100,,45.594849,12.870800
213,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",EI,1,200,Africana,Africa,2.0,,1,200,,45.594849,12.870800
214,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",LI,300,600,Almagro 50,Lusitania,2.0,,200,500,,45.594849,12.870800
215,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",LI,300,600,spatheia,Africa,2.0,,375,700,,45.594849,12.870800
216,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",LI,300,600,Gauloise 4,Gaul,1.0,,50,300,,45.594849,12.870800
217,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",LR,-150,-1,Van der Werff,Spain,2.0,,-225,100,,45.594849,12.870800
218,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",LR,-150,-1,Greco-Ital,Tyrrhenian Italy,9.0,,-350,-150,,45.594849,12.870800
219,Caorle,"Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.",LR/EI,-100,50,Lamb.2,Adriatic Italy,7.0,,-200,-25,,45.594849,12.870800
220,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",EI,1,100,Dr 25,S Italy/Eastern Mediterranean,3.0,2nd BC-1st AD,-25,100,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
221,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Greco-Ital,Tyrrhenian Italy,14.0,2nd BC-1st AD,-350,-150,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
222,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Dr 1,Tyrrhenian Italy,9.0,2nd BC-1st AD,-150,-50,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
223,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Dr 1A,Tyrrhenian Italy,45.0,2nd BC-1st AD,-150,-50,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
224,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Dr 1B,Tyrrhenian Italy,8.0,2nd BC-1st AD,-150,-50,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
225,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Greco-Ital,Adriatic Italy,3.0,2nd BC-1st AD,-350,-150,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
226,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Dr 1A,Adriatic Italy,2.0,2nd BC-1st AD,-150,-50,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
227,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Dr 1C,Adriatic Italy,1.0,2nd BC-1st AD,-150,-50,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
228,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Dr 1,Italy,2.0,2nd BC-1st AD,-150,-50,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
229,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Etruscan,Italy,1.0,2nd BC-1st AD,-150,-1,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
230,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Massalia,Ionian,1.0,2nd BC-1st AD,-150,-1,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
231,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Rhodian,Aegean,94.0,2nd BC-1st AD,-25,150,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
232,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Cnidian,Aegean,2.0,2nd BC-1st AD,-150,-1,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
233,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Sycyonian,Aegean,2.0,2nd BC-1st AD,-150,-1,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
234,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Dr 1,Tarraconesis,1.0,2nd BC-1st AD,-150,-50,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
235,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Van der Werff,Spain,23.0,2nd BC-1st AD,-225,100,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
236,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR,-150,-1,Sardic,Sardegna,2.0,2nd BC-1st AD,-150,-1,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
237,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR/EI,-100,50,Dr 21-22,Tyrrhenian Italy,1.0,2nd BC-1st AD,-25,100,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
238,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR/EI,-100,50,Dr 2-4_5,Tyrrhenian Italy,4.0,2nd BC-1st AD,-70,225,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
239,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR/EI,-100,50,Lamb.2,Adriatic Italy,3.0,2nd BC-1st AD,-200,-25,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
240,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR/EI,-100,50,Dr 6A/6B_1,Adriatic Italy,1.0,2nd BC-1st AD,1,150,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
241,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR/EI,-100,50,Brindisi,Adriatic Italy,2.0,2nd BC-1st AD,-125,-25,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
242,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR/EI,-100,50,Dr 2-4,Aegean,8.0,2nd BC-1st AD,-100,200,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
243,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR/EI,-100,50,Dr 7-11,Tarraconesis,1.0,2nd BC-1st AD,-30,96,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
244,"Casa di Ariadna, Pompeii","Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.",LR/EI,-100,50,Tripolitana ,Tripolitania,14.0,2nd BC-1st AD,1,440,https://pleiades.stoa.org/places/599902893,40.7498127264,14.4850078855
245,"Cratere Senga, Puteoli","Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,17.0,,-70,225,https://pleiades.stoa.org/places/432815,40.825838,14.1217415
246,"Cratere Senga, Puteoli","Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.",EI,1,200,Camulodunum 184,Aegean,9.0,,-25,150,https://pleiades.stoa.org/places/432815,40.825838,14.1217415
247,"Cratere Senga, Puteoli","Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.",EI,1,200,Tripolitana ,Tripolitania,2.0,,1,440,https://pleiades.stoa.org/places/432815,40.825838,14.1217415
248,"Cratere Senga, Puteoli","Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.",EI,1,200,Tunisian,Africa,8.0,,1,200,https://pleiades.stoa.org/places/432815,40.825838,14.1217415
249,"Cratere Senga, Puteoli","Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.",EI,1,200,Dressel 21-22,S Italy/EM,1.0,,-25,100,https://pleiades.stoa.org/places/432815,40.825838,14.1217415
