Site;Publication;Period;Lower_ context_date;Upper_context_date;Amphora_type;Provenance;Frequency;Notes;Amphora type lower date;Amphora type upper date
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;EI;1;200;Dr 7-14;Baetica;1;;-30;150
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;EI;1;200;Forlimpopoli;Adriatic Italy;8;;-25;300
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;EI;1;200;Dr 25;S Italy/Eastern Mediterranean;1;;-25;100
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;EI;1;200;Brindisi;Adriatic Italy;1;;-125;-25
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;EI;1;200;Dr 35;Aegean?;1;;1;100
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;EI;1;200;Africana ;Africa;2;;1;200
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;LI;300;600;Almagro 50;Lusitania;2;;200;500
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;LI;300;600;spatheia;Africa;2;;375;700
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;LI;300;600;Gauloise 4;Gaul;1;;50;300
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;LR;-150;-1;Van der Werff;Spain;2;;-225;100
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;LR;-150;-1;Greco-Ital;Tyrrhenian Italy;9;;-350;-150
Caorle;Cacciaguerra L, Caorle in epoca Romana: dalle anfore alcune ipotesi sui traffici commer- ciali, serie: la bassa/archeologia 4, Portogruaro 1996.;LR/EI;-100;50;Lamb.2;Adriatic Italy;7;;-200;-25
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;EI;1;100;Dr 25;S Italy/Eastern Mediterranean;3;2nd BC-1st AD;-25;100
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Greco-Ital;Tyrrhenian Italy;14;2nd BC-1st AD;-350;-150
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Dr 1;Tyrrhenian Italy;9;2nd BC-1st AD;-150;-50
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Dr 1A;Tyrrhenian Italy;45;2nd BC-1st AD;-150;-50
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Dr 1B;Tyrrhenian Italy;8;2nd BC-1st AD;-150;-50
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Greco-Ital;Adriatic Italy;3;2nd BC-1st AD;-350;-150
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Dr 1A;Adriatic Italy;2;2nd BC-1st AD;-150;-50
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Dr 1C;Adriatic Italy;1;2nd BC-1st AD;-150;-50
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Dr 1;Italy;2;2nd BC-1st AD;-150;-50
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Etruscan;Italy;1;2nd BC-1st AD;-150;-1
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Massalia;Ionian;1;2nd BC-1st AD;-150;-1
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Rhodian;Aegean;94;2nd BC-1st AD;-25;150
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Cnidian;Aegean;2;2nd BC-1st AD;-150;-1
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Sycyonian;Aegean;2;2nd BC-1st AD;-150;-1
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Dr 1;Tarraconesis;1;2nd BC-1st AD;-150;-50
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Van der Werff;Spain;23;2nd BC-1st AD;-225;100
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR;-150;-1;Sardic;Sardegna;2;2nd BC-1st AD;-150;-1
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR/EI;-100;50;Dr 21-22;Tyrrhenian Italy;1;2nd BC-1st AD;-25;100
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR/EI;-100;50;Dr 2-4;Tyrrhenian Italy;4;2nd BC-1st AD;-70;225
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR/EI;-100;50;Lamb.2;Adriatic Italy;3;2nd BC-1st AD;-200;-25
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR/EI;-100;50;Dr 6A/6B;Adriatic Italy;1;2nd BC-1st AD;1;150
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR/EI;-100;50;Brindisi;Adriatic Italy;2;2nd BC-1st AD;-125;-25
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR/EI;-100;50;Dr 2-5;Aegean;8;2nd BC-1st AD;-100;200
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR/EI;-100;50;Dr 7-11;Tarraconesis;1;2nd BC-1st AD;-30;96
Casa di Ariadna, Pompeii;Albiach R., Ballester C., Escrivà I., Fernández A. 2008: ‘Estudios estratigráficos y geofísicos entre la casa de Ariadna y el Vicolo Storto (VII, 4)’, in P. G. Guzzo, M. P. Guidobaldi ed., Nuove ricerche archeologiche nell’area vesuviana (scavi 2003-2006), Roma, p. 249-264.;LR/EI;-100;50;Tripolitana ;Tripolitania;14;2nd BC-1st AD;1;440
Cratere Senga, Puteoli;Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.;EI;1;200;Dr 2-4;Tyrrhenian Italy;17;;-70;225
Cratere Senga, Puteoli;Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.;EI;1;200;Camulodunum 184;Aegean;9;;-25;150
Cratere Senga, Puteoli;Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.;EI;1;200;Tripolitana ;Tripolitania;2;;1;440
Cratere Senga, Puteoli;Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.;EI;1;200;Tunisian;Africa;8;;1;200
Cratere Senga, Puteoli;Garcea F., Miraglia G., Soricelli G. 1983-84: ‘Uno scarico di materiale ceramico di età adrianeo-antonina da Cratere Senga (Puzzuoli)’, Puteoli. Studi di Storia Antica VII-VIII, p. 245-285.;EI;1;200;Dressel 21-22;S Italy/EM;1;;-25;100
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;EI;1;200;Baetican;Baetica;13;;1;200
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;EI;1;200;Dr 2-4;Tyrrhenian Italy;2;;-70;225
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;EI;1;200;Dr 21-22;Tyrrhenian Italy;1;;-25;100
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;EI;1;200;Italian;Tyrrhenian Italy;10;;1;200
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;EI;1;200;Rhodian;Aegean;1;;1;200
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;EI;1;200;Oriental;Orient;1;;1;200
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;EI;1;200;Aegean/Oriental;Aegean/Oriental;4;;1;200
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;LR;-150;-1;Dr 1;Tyrrhenian Italy;4;;-150;-50
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;LR;-150;-1;MGS;Italy/Sicilia;3;;-150;-1
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;LR;-150;-1;Van der Werff;Spain;2;;-225;100
Cuma, Tete de Cire, phase 2.;Botte E., unpublished;LR;-150;-1;Van der Werff;Spain/Africa;10;;-225;100
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Ostia LIX;Africa;3;;50;150
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Schoene-Mau 35;Africa;1;;30;225
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Tripolitana I;Tripolitania;2;;1;150
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Dr 26;Africa;5;;-150;-1
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Beltran II;Baetica;1;;10;150
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Beltran IIB;Baetica;6;;15;150
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Beltran IIA;Baetica;1;;10;150
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Dr 14;Baetica;1;;50;225
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Dr 20;Baetica;2;;1;300
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Haltern 70;Baetica;4;;-80;192
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Baetican;Baetica;2;;1;200
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Gauloise 4;Gaul;1;;50;300
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Dr 1;Tyrrhenian Italy;3;;-150;-50
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Richborough 527;Tyrrhenian Italy;3;;-25;125
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Dr 2-4;Tyrrhenian Italy;14;;-70;225
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Dr 21-22;Tyrrhenian Italy;2;;-25;100
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Tyrrhenian;Tyrrhenian Italy;3;;1;200
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Lusitanian;Lusitania;2;;1;200
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Punic/African;Spain/Africa;23;;-225;200
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Agora G198 (Schoene Mau XIII);Cilicia;5;;75;200
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Agora G199/Schoene-Mau 27/28;Cyprus/Cilicia;2;;79;310
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Camulodunum 184;Aegean;7;;-25;150
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Schoene-Mau 5;Cilicia;2;;1;200
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Schoene-Mau 38;Aegean;7;;-200;125
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;AC1;Aegean;4;;1;350
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;AC2;Aegean;3;;1;225
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;AC3;Aegean;2;;1;250
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Cretan;Aegean;6;;1;200
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Knossos 19;Aegean/Oriental;1;;1;200
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Agora F65-66;Anatolia;2;;-50;400
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Dr 24;Aegean;1;;1;300
Cuma, Tete de Cire, phase 4.;Botte E., unpublished;EI;1;200;Aegean/Oriental;Aegean/Oriental;8;;1;200
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 2-4;Tyrrhenian Italy;53;;-70;225
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 21-22;S Italy/Eastern Mediterranean;2;;-25;100
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Spello/Ostia II 521/ III 369-370;Italy - Tiber Valley;4;;50;200
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Gauloise 5;Gaul;2;;50;125
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Gauloise 2;Gaul;2;;-40;14
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Haltern 70;Baetica;8;;-80;192
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 7-11;Baetica;4;;-30;96
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 28;Baetica;3;;1;150
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 20;Baetica;9;;1;300
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 2-4;Tarraconesis;8;;-25;200
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 2-4;Baetica;4;;1;125
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Beltran IIA;Baetica;5;;10;150
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Beltran IIB;Baetica;5;;15;150
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Tripolitana ;Tripolitania;4;;1;440
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 26;Africa;5;;-150;-1
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Mana C1;Africa;2;;-221;-1
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Schoene-Mau 15;Orient;1;;-10;200
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Kingsholm 117;Orient;2;;50;150
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Agora F65-66;Anatolia;1;;-50;400
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Camulodunum 184;Aegean;25;;-25;150
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 43;Aegean;2;;1;250
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 2-5;Aegean;4;;-100;200
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Dr 2-4;Aegean;9;;-100;200
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;EI;1;200;Ostia II 522-523;Calabria/Sicilia;4;;50;200
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;LR;-150;-1;Dr 1;Tyrrhenian Italy;9;;-150;-50
Foro di Nerva, Roma;Rinaldi A. 2013: ‘Contesti ceramici del Foro di Nerva dagli ambienti 1 e 2. I vasi decorate a matrice in terra sigilata italic e le anfore’, in M. Ceci ed., Contesti ceramici dai Fori Imperiali, Oxford, p. 61-73.;LR/EI;-100;50;Lamb.2/Dr 6;Adriatic Italy;9;;-200;50
