,Unnamed: 0,Site,Publication,Period,Lower_ context_date,Upper_context_date,Amphora_type,Provenance,Frequency,Notes,Amphora_type_lower_date,Amphora_type_upper_date,Pleiades URI,Latitude,Longitude,site,Grouped_sites,Site_type,Site_notes,Amphora_type_main,amphora_type,problems,content,Amphora_type_notes
385,384,Gianicolo,"Ferrandes A. F. 2008: ‘I contenitori da trasporto’, in F. Filippi ed., Horti et sordes. Uno scavo alle falde del Gianicolo, Roma, p. 247-283.",LR,-150,-1,Van der Werff,Africa,15.0,,-225,100,https://pleiades.stoa.org/places/430827518,41.88333,12.46667,Gianicolo,Roma,urban,"not within the Servian Walls, but a sanctuary connected with the city, not the agricultural area",Van der Werff,Van der Werff,,unknown,"wine and fish sauce suggested, https://halshs.archives-ouvertes.fr/halshs-03506183/document"
386,385,Gianicolo,"Ferrandes A. F. 2008: ‘I contenitori da trasporto’, in F. Filippi ed., Horti et sordes. Uno scavo alle falde del Gianicolo, Roma, p. 247-283.",LR,-150,-1,Van der Werff 1,Africa,3.0,,-200,100,https://pleiades.stoa.org/places/430827518,41.88333,12.46667,Gianicolo,Roma,urban,"not within the Servian Walls, but a sanctuary connected with the city, not the agricultural area",Van der Werff 1,Van der Werff 1,,unknown,"wine and fish sauce suggested, https://halshs.archives-ouvertes.fr/halshs-03506183/document"
387,386,Gianicolo,"Ferrandes A. F. 2008: ‘I contenitori da trasporto’, in F. Filippi ed., Horti et sordes. Uno scavo alle falde del Gianicolo, Roma, p. 247-283.",LR/EI,-100,50,Dr 21-22,Italy,8.0,,-25,100,https://pleiades.stoa.org/places/430827518,41.88333,12.46667,Gianicolo,Roma,urban,"not within the Servian Walls, but a sanctuary connected with the city, not the agricultural area",Dr 21-22,Dr 21-22,,fish sauce,https://books.google.pl/books?id=umxMEAAAQBAJ&pg=PA437&lpg=PA437&dq=amphora+dr+21-22+botte&source=bl&ots=Jfet_K3sEW&sig=ACfU3U2ekLoscRldMQybYP86_52HKyiX0A&hl=pl&sa=X&ved=2ahUKEwi3rvb-k-71AhWUy4sKHf1_CekQ6AF6BAgPEAM#v=onepage&q=amphora%20dr%2021-22%20botte&f=false
388,387,Gianicolo,"Ferrandes A. F. 2008: ‘I contenitori da trasporto’, in F. Filippi ed., Horti et sordes. Uno scavo alle falde del Gianicolo, Roma, p. 247-283.",LR/EI,-100,50,Lamb.2/Dr 6,Adriatic Italy,2.0,,-200,150,https://pleiades.stoa.org/places/430827518,41.88333,12.46667,Gianicolo,Roma,urban,"not within the Servian Walls, but a sanctuary connected with the city, not the agricultural area",Lamb.2/Dr 6,Lamb.2/Dr 6,,wine,
389,388,Gianicolo,"Ferrandes A. F. 2008: ‘I contenitori da trasporto’, in F. Filippi ed., Horti et sordes. Uno scavo alle falde del Gianicolo, Roma, p. 247-283.",LR/EI,-100,50,Dr 21-22,Sicilia,3.0,,-25,100,https://pleiades.stoa.org/places/430827518,41.88333,12.46667,Gianicolo,Roma,urban,"not within the Servian Walls, but a sanctuary connected with the city, not the agricultural area",Dr 21-22,Dr 21-22,,fish sauce,https://books.google.pl/books?id=umxMEAAAQBAJ&pg=PA437&lpg=PA437&dq=amphora+dr+21-22+botte&source=bl&ots=Jfet_K3sEW&sig=ACfU3U2ekLoscRldMQybYP86_52HKyiX0A&hl=pl&sa=X&ved=2ahUKEwi3rvb-k-71AhWUy4sKHf1_CekQ6AF6BAgPEAM#v=onepage&q=amphora%20dr%2021-22%20botte&f=false
390,389,Gianicolo,"Ferrandes A. F. 2008: ‘I contenitori da trasporto’, in F. Filippi ed., Horti et sordes. Uno scavo alle falde del Gianicolo, Roma, p. 247-283.",LR/EI,-100,50,Pascual 1,Tarraconesis,15.0,,-50,79,https://pleiades.stoa.org/places/430827518,41.88333,12.46667,Gianicolo,Roma,urban,"not within the Servian Walls, but a sanctuary connected with the city, not the agricultural area",Pascual 1,Pascual 1,,wine,
391,390,"Grandi Terme, Aquileia","RUBINICH M., BRAIDOTTI E., Anfore dall'area delle Grandi Terme. Risultati preliminari, Aquileia Nostra LXXVIII, 2007, 193-228.",EI/LI,200,400,Forlimpopoli,Adriatic Italy,1.0,,-25,300,https://pleiades.stoa.org/places/187290,45.768945,13.3677735,"Grandi Terme, Aquileia",Aquileia,urban,,Forlimpopoli,Forlimpopoli,,wine,"garum suggested for the type A and D, but unconfirmed"
392,391,"Grandi Terme, Aquileia","RUBINICH M., BRAIDOTTI E., Anfore dall'area delle Grandi Terme. Risultati preliminari, Aquileia Nostra LXXVIII, 2007, 193-228.",LI,300,700,Keay 52,Calabria/Sicilia,1.0,,350,700,https://pleiades.stoa.org/places/187290,45.768945,13.3677735,"Grandi Terme, Aquileia",Aquileia,urban,,Keay 52,Keay 52,,wine,
393,392,"Grandi Terme, Aquileia","RUBINICH M., BRAIDOTTI E., Anfore dall'area delle Grandi Terme. Risultati preliminari, Aquileia Nostra LXXVIII, 2007, 193-228.",LI,300,700,AfricanaII/III,Africa,12.0,,150,450,https://pleiades.stoa.org/places/187290,45.768945,13.3677735,"Grandi Terme, Aquileia",Aquileia,urban,,AfricanaII/III,AfricanaII/III,,unknown,"wine and fish sauce suggested, https://halshs.archives-ouvertes.fr/halshs-03506183/document"
394,393,"Grandi Terme, Aquileia","RUBINICH M., BRAIDOTTI E., Anfore dall'area delle Grandi Terme. Risultati preliminari, Aquileia Nostra LXXVIII, 2007, 193-228.",LI,300,700,LRA2,Aegean,2.0,,325,650,https://pleiades.stoa.org/places/187290,45.768945,13.3677735,"Grandi Terme, Aquileia",Aquileia,urban,,LRA2,LRA2,,olive oil,"Opaiţ, 1996; 2004a; 2004b"
395,394,"Grandi Terme, Aquileia","RUBINICH M., BRAIDOTTI E., Anfore dall'area delle Grandi Terme. Risultati preliminari, Aquileia Nostra LXXVIII, 2007, 193-228.",LI,300,700,LRA3,Anatolia,3.0,,375,600,https://pleiades.stoa.org/places/187290,45.768945,13.3677735,"Grandi Terme, Aquileia",Aquileia,urban,,LRA3,LRA3,,wine,"the same as predecessor, Agora F65-66"
396,395,"Grandi Terme, Aquileia","RUBINICH M., BRAIDOTTI E., Anfore dall'area delle Grandi Terme. Risultati preliminari, Aquileia Nostra LXXVIII, 2007, 193-228.",LI,300,700,Almagro 51 A-B,Lusitania,1.0,,200,600,https://pleiades.stoa.org/places/187290,45.768945,13.3677735,"Grandi Terme, Aquileia",Aquileia,urban,,Almagro 51 A-B,Almagro 51 A-B,,fish sauce,
397,396,"Grandi Terme, Aquileia","RUBINICH M., BRAIDOTTI E., Anfore dall'area delle Grandi Terme. Risultati preliminari, Aquileia Nostra LXXVIII, 2007, 193-228.",LI,300,700,Almagro 51C,Lusitania,1.0,,200,500,https://pleiades.stoa.org/places/187290,45.768945,13.3677735,"Grandi Terme, Aquileia",Aquileia,urban,,Almagro 51C,Almagro 51C,,fish sauce,
398,397,"Grandi Terme, Aquileia","RUBINICH M., BRAIDOTTI E., Anfore dall'area delle Grandi Terme. Risultati preliminari, Aquileia Nostra LXXVIII, 2007, 193-228.",LR,-150,-1,Dr 1/Lamb.2,Adriatic Italy,1.0,,-200,-25,https://pleiades.stoa.org/places/187290,45.768945,13.3677735,"Grandi Terme, Aquileia",Aquileia,urban,,Dr 1/Lamb.2,Dr 1/Lamb.2,,wine,
399,398,Iulia Concordia,"Belotti Ch. 2004: Ritrovamenti di anfore a Iulia Concordia : aspetti topografici ed economici, Roma.",EI,100,200,Dr 2-4,Aegean,7.0,"Via Fronasatta, II AD",-100,200,https://pleiades.stoa.org/places/393441,45.756906,12.844313,Iulia Concordia,Iulia Concordia,urban,"not necessarily from urban structures, but from drainages associated with urban sttlement",Dr 2-4,Dr 2-4,,wine,
400,399,Iulia Concordia,"Belotti Ch. 2004: Ritrovamenti di anfore a Iulia Concordia : aspetti topografici ed economici, Roma.",EI,100,200,Forlimpopoli,Adriatic Italy,2.0,"Via Fronasatta, II AD",-25,300,https://pleiades.stoa.org/places/393441,45.756906,12.844313,Iulia Concordia,Iulia Concordia,urban,"not necessarily from urban structures, but from drainages associated with urban sttlement",Forlimpopoli,Forlimpopoli,,wine,"garum suggested for the type A and D, but unconfirmed"
401,400,Iulia Concordia,"Belotti Ch. 2004: Ritrovamenti di anfore a Iulia Concordia : aspetti topografici ed economici, Roma.",EI,100,200,MR8,Oriental,9.0,"Via Fronasatta, II AD",100,250,https://pleiades.stoa.org/places/393441,45.756906,12.844313,Iulia Concordia,Iulia Concordia,urban,"not necessarily from urban structures, but from drainages associated with urban sttlement",MR8,MR8,,olive oil,"Panell, Rizzo 2014, 419, tab. 19"
402,401,Iulia Concordia,"Belotti Ch. 2004: Ritrovamenti di anfore a Iulia Concordia : aspetti topografici ed economici, Roma.",EI,100,200,Beltran IIA,Baetica,2.0,"Via Fronasatta, II AD",10,150,https://pleiades.stoa.org/places/393441,45.756906,12.844313,Iulia Concordia,Iulia Concordia,urban,"not necessarily from urban structures, but from drainages associated with urban sttlement",Beltran IIA,Beltran IIA,,fish sauce,
403,402,Iulia Concordia,"Belotti Ch. 2004: Ritrovamenti di anfore a Iulia Concordia : aspetti topografici ed economici, Roma.",EI,100,200,Knossos 26/27,Black Sea,1.0,"Via Fronasatta, II AD",100,300,https://pleiades.stoa.org/places/393441,45.756906,12.844313,Iulia Concordia,Iulia Concordia,urban,"not necessarily from urban structures, but from drainages associated with urban sttlement",Knossos 26/27,Knossos 26/27,,unknown,Sinopean type
404,403,Iulia Concordia,"Belotti Ch. 2004: Ritrovamenti di anfore a Iulia Concordia : aspetti topografici ed economici, Roma.",EI,100,200,Dr 24,Aegean/Oriental,7.0,"Via Fronasatta, II AD",1,300,https://pleiades.stoa.org/places/393441,45.756906,12.844313,Iulia Concordia,Iulia Concordia,urban,"not necessarily from urban structures, but from drainages associated with urban sttlement",Dr 24,Dr 24,,olive oil,"Panella, Rizzo 2014, 90, tab. 7"
405,404,Iulia Concordia,"Belotti Ch. 2004: Ritrovamenti di anfore a Iulia Concordia : aspetti topografici ed economici, Roma.",EI,100,200,collo ad imbuto,Adriatic Italy,31.0,"Via Fronasatta, II AD",1,250,https://pleiades.stoa.org/places/393441,45.756906,12.844313,Iulia Concordia,Iulia Concordia,urban,"not necessarily from urban structures, but from drainages associated with urban sttlement",collo ad imbuto,collo ad imbuto,,unknown,
406,405,Iulia Concordia,"Belotti Ch. 2004: Ritrovamenti di anfore a Iulia Concordia : aspetti topografici ed economici, Roma.",EI,100,200,Dr 6B,Adriatic Italy,35.0,"Via Fronasatta, II AD",1,150,https://pleiades.stoa.org/places/393441,45.756906,12.844313,Iulia Concordia,Iulia Concordia,urban,"not necessarily from urban structures, but from drainages associated with urban sttlement",Dr 6B,Dr 6B,,olive oil,
407,406,Iulia Concordia,"Belotti Ch. 2004: Ritrovamenti di anfore a Iulia Concordia : aspetti topografici ed economici, Roma.",EI/LI,100,200,San Lorenzo 7,Aegean,3.0,"Via Fronasatta, II AD",50,500,https://pleiades.stoa.org/places/393441,45.756906,12.844313,Iulia Concordia,Iulia Concordia,urban,"not necessarily from urban structures, but from drainages associated with urban sttlement",San Lorenzo 7,San Lorenzo 7,,unknown,
408,407,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 6A,Adriatic Italy,12.0,"Antiquarium, I-II AD, ",-25,50,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,Dr 6A,Dr 6A,,wine,
409,408,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 6B,Adriatic Italy,16.0,"Antiquarium, I-II AD, ",1,150,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,Dr 6B,Dr 6B,,olive oil,
410,409,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 7-13,Baetica,10.0,"Antiquarium, I-II AD, ",-30,150,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,Dr 7-13,Dr 7-13,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
411,410,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,2.0,"Antiquarium, I-II AD, ",-70,225,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,Dr 2-4,Dr 2-4,,wine,
412,411,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4,Aegean,1.0,"Antiquarium, I-II AD, ",-100,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,Dr 2-4,Dr 2-4,,wine,
413,412,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_2,Spain,4.0,"Antiquarium, I-II AD, ",-25,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,Dr 2-4,Dr 2-4,,wine,
414,413,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_7,unknown,12.0,"Antiquarium, I-II AD, ",1,200,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,Dr 2-4,Dr 2-4,,wine,
415,414,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Forlimpopoli,Adriatic Italy,1.0,"Antiquarium, I-II AD, ",-25,300,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,Forlimpopoli,Forlimpopoli,,wine,"garum suggested for the type A and D, but unconfirmed"
416,415,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 20,Baetica,13.0,"Antiquarium, I-II AD, ",1,300,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,Dr 20,Dr 20,,olive oil,
417,416,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,"Gauloise 2, 3, 5",Gaul,5.0,"Antiquarium, I-II AD, ",-40,125,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,"Gauloise 2, 3, 5","Gauloise 2, 3, 5",,wine,
418,417,Libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,collo ad imbuto,Adriatic Italy,3.0,"Antiquarium, I-II AD, ",1,250,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,Libarna,Libarna,urban,,collo ad imbuto,collo ad imbuto,,unknown,
419,418,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 7-13,Baetica,28.0,"taberna del foro, I-II AD, ",-30,150,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Dr 7-13,Dr 7-13,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
420,419,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 28,Baetica,5.0,"taberna del foro, I-II AD, ",1,150,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Dr 28,Dr 28,,wine,
421,420,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_5,Tyrrhenian Italy,19.0,"taberna del foro, I-II AD, ",-70,225,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Dr 2-4,Dr 2-4,,wine,
422,421,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4,Aegean,6.0,"taberna del foro, I-II AD, ",-100,200,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Dr 2-4,Dr 2-4,,wine,
423,422,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_2,Spain,5.0,"taberna del foro, I-II AD, ",-25,200,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Dr 2-4,Dr 2-4,,wine,
424,423,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 2-4_7,unknown,20.0,"taberna del foro, I-II AD, ",1,200,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Dr 2-4,Dr 2-4,,wine,
425,424,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Camulodunum 184,Rhodes,13.0,"taberna del foro, I-II AD, ",-25,150,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Camulodunum 184,Camulodunum 184,in a few cases the provenance of this amphora given in the sonata ABM spreadshit is Rhodes - it should always be Aegean for the consistency,wine,
426,425,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Aegean/Oriental,Aegean/Oriental,7.0,"taberna del foro, I-II AD, ",1,200,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Aegean/Oriental,Aegean/Oriental,,unknown,
427,426,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Schoene-Mau 35,Africa,1.0,"taberna del foro, I-II AD, ",30,225,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Schoene-Mau 35,Schoene-Mau 35,,wine,
428,427,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 20,Baetica,22.0,"taberna del foro, I-II AD, ",1,300,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Dr 20,Dr 20,,olive oil,
429,428,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,"Gauloise 2, 3, 5",Gaul,22.0,"taberna del foro, I-II AD, ",-40,125,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,"Gauloise 2, 3, 5","Gauloise 2, 3, 5",,wine,
430,429,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1,200,Dr 7-11,Gaul,150.0,"taberna del foro, I-II AD, ",-30,96,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Dr 7-11,Dr 7-11,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
431,430,Luni,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",LR/EI,-100,50,Haltern 70,Baetica,2.0,"taberna del foro, I-II AD, ",-80,192,https://pleiades.stoa.org/places/403235,44.065164,10.024166,Luni,Luni,urban,taverns next to the Roman Forum,Haltern 70,Haltern 70,,defrutum,
432,431,Mercati di Traiano,"Ceci M. 2006: ‘Un contesto medio imperiale dall’area dei Mercati di Traiano, in R. Meneghini, R. Santangeli Valenzani ed., Roma: Lo scavo dei fori imperiali 1995–2000: i contesti ceramici, Roma, p. 25-56.",EI,1,200,Dr 6A,Adriatic Italy,1.0,,-25,50,https://pleiades.stoa.org/places/250091860,41.8953146648,12.4855481431,Mercati di Traiano,Roma,urban,,Dr 6A,Dr 6A,,wine,
433,432,Mercati di Traiano,"Ceci M. 2006: ‘Un contesto medio imperiale dall’area dei Mercati di Traiano, in R. Meneghini, R. Santangeli Valenzani ed., Roma: Lo scavo dei fori imperiali 1995–2000: i contesti ceramici, Roma, p. 25-56.",EI,1,200,Schoene-Mau 35,Africa,3.0,,30,225,https://pleiades.stoa.org/places/250091860,41.8953146648,12.4855481431,Mercati di Traiano,Roma,urban,,Schoene-Mau 35,Schoene-Mau 35,,wine,
434,433,Mercati di Traiano,"Ceci M. 2006: ‘Un contesto medio imperiale dall’area dei Mercati di Traiano, in R. Meneghini, R. Santangeli Valenzani ed., Roma: Lo scavo dei fori imperiali 1995–2000: i contesti ceramici, Roma, p. 25-56.",EI,1,200,Ostia II 522-523,Sicilia,33.0,,50,200,https://pleiades.stoa.org/places/250091860,41.8953146648,12.4855481431,Mercati di Traiano,Roma,urban,,Ostia II 522-523,Ostia II 522-523,,wine,"Panell, Rizzo 2014, 414, tab 11"
435,434,Mercati di Traiano,"Ceci M. 2006: ‘Un contesto medio imperiale dall’area dei Mercati di Traiano, in R. Meneghini, R. Santangeli Valenzani ed., Roma: Lo scavo dei fori imperiali 1995–2000: i contesti ceramici, Roma, p. 25-56.",EI,1,200,Italian,Tyrrhenian Italy,22.0,,1,200,https://pleiades.stoa.org/places/250091860,41.8953146648,12.4855481431,Mercati di Traiano,Roma,urban,,Italian,Italian,,unknown,
436,435,Mercati di Traiano,"Ceci M. 2006: ‘Un contesto medio imperiale dall’area dei Mercati di Traiano, in R. Meneghini, R. Santangeli Valenzani ed., Roma: Lo scavo dei fori imperiali 1995–2000: i contesti ceramici, Roma, p. 25-56.",EI,1,200,Dr 7-11,Baetica,2.0,,-30,96,https://pleiades.stoa.org/places/250091860,41.8953146648,12.4855481431,Mercati di Traiano,Roma,urban,,Dr 7-11,Dr 7-11,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
437,436,Mercati di Traiano,"Ceci M. 2006: ‘Un contesto medio imperiale dall’area dei Mercati di Traiano, in R. Meneghini, R. Santangeli Valenzani ed., Roma: Lo scavo dei fori imperiali 1995–2000: i contesti ceramici, Roma, p. 25-56.",EI,1,200,Haltern 70,Baetica,2.0,,-80,192,https://pleiades.stoa.org/places/250091860,41.8953146648,12.4855481431,Mercati di Traiano,Roma,urban,,Haltern 70,Haltern 70,,defrutum,
